		Formal non-polite(해라체)	Informal non-polite(해체)	Informal polite(해요체)	Formal polite(하십시오체)
Indicative	Non-past	동그랗다	동그래	동그래요	동그랗습니다
Indicative	Past	동그랬다	동그랬어	동그랬어요	동그랬습니다
Interrogative	Non-past	동그라냐	동그래	동그래요	동그랗습니까
Interrogative	Past	동그랬냐	동그랬어	동그랬어요	동그랬습니까
Assertive	Assertive	동그랗겠다	동그랗겠어	동그랗겠어요	동그랗겠습니다
					
Cause/Reason	Cause/Reason	동그래	동그래서	동그라니	동그라니까
Contrast	Contrast	동그랗지만	동그란데	동그랗더니	
Conjunction	Conjunction	동그랗고			
Condition	Condition	동그라면	동그래야		
					
Verbal nouns	Verbal nouns	동그람	동그랗기		
Past-tense verbal nouns	Past-tense verbal nouns	동그랬음	동그랬기		
Determiners	Present		동그란		
Determiners	Future		동그랄		
					
		Plain (해라체)	Informal (해체)	Polite (해요체)	Formal (하십시오체)
Indicative	Non-past	동그라시다	동그라셔	동그라세요, 동그라셔요	동그라십니다
Indicative	Past	동그라셨다	동그라셨어	동그라셨어요	동그라셨습니다
Interrogative	Non-past	동그라시냐	동그라셔	동그라세요, 동그라셔요	동그라십니까
Interrogative	Past	동그라셨냐	동그라셨어	동그라셨어요	동그라셨습니까
Assertive	Assertive	동그라시겠다	동그라시겠어	동그라시겠어요	동그라시겠습니다
					
Cause/Reason	Cause/Reason	동그라셔	동그라셔서	동그라시니	동그라시니까
Contrast	Contrast	동그라시지만	동그라신데	동그라시더니	
Conjunction	Conjunction	동그라시고			
Condition	Condition	동그라시면	동그라셔야		
					
Verbal nouns	Verbal nouns	동그라심	동그라시기		
Past-tense verbal nouns	Past-tense verbal nouns	동그라셨음	동그라셨기		
Determiners	Present		동그라신		
Determiners	Future		동그라실		
