		Formal non-polite(해라체)	Informal non-polite(해체)	Informal polite(해요체)	Formal polite(하십시오체)
Indicative	Non-past	건넌다	건너어-eo	건너어요-eoyo	건넙니다
Indicative	Past	건너었다-eotda	건너었어-eosseo	건너었어요-eosseoyo	건너었습니다-eotseumnida
Interrogative	Non-past	건너느냐	건너어-eo	건너어요-eoyo	건넙니까
Interrogative	Past	건너었느냐-eonneunya	건너었어-eosseo	건너었어요-eosseoyo	건너었습니까-eotseumnikka
Hortative	Hortative	건너자	건너어-eo	건너어요-eoyo	건넙시다
Imperative	Imperative	건너어라-eora	건너어-eo	건너어요-eoyo	건넙시오
Assertive	Assertive	건너겠다	건너겠어	건너겠어요	건너겠습니다
					
Cause/Reason	Cause/Reason	건너어-eo	건너어서-eoseo	건너니	건너니까
Contrast	Contrast	건너지만	건너는데	건너더니	
Conjunction	Conjunction	건너고			
Condition	Condition	건너면	건너어야-eoya		
Motive	Motive	건너려고			
					
Verbal nouns	Verbal nouns	건넘	건너기		
Past-tense verbal nouns	Past-tense verbal nouns	건너었음-eosseum	건너었기-eotgi		
Determiners	Past	건넌			
Determiners	Present	건너는			
Determiners	Future	건널			
					
		Formal non-polite(해라체)	Informal non-polite(해체)	Informal polite(해요체)	Formal polite(하십시오체)
Indicative	Non-past	건너신다	건너셔	건너세요, 건너셔요	건너십니다
Indicative	Past	건너셨다	건너셨어	건너셨어요	건너셨습니다
Interrogative	Non-past	건너시느냐	건너셔	건너세요, 건너셔요	건너십니까
Interrogative	Past	건너셨느냐	건너셨어	건너셨어요	건너셨습니까
Imperative	Imperative	건너시라	건너셔	건너세요	건너십시오
Assertive	Assertive	건너시겠다	건너시겠어	건너시겠어요	건너시겠습니다
					
Cause/Reason	Cause/Reason	건너셔	건너셔서	건너시니	건너시니까
Contrast	Contrast	건너시지만	건너시는데	건너시더니	
Conjunction	Conjunction	건너시고			
Condition	Condition	건너시면	건너셔야		
Motive	Motive	건너시려고			
					
Verbal nouns	Verbal nouns	건너심	건너시기		
Past-tense verbal nouns	Past-tense verbal nouns	건너셨음	건너셨기		
Determiners	Past	건너신			
Determiners	Present	건너시는			
Determiners	Future	건너실			
