0,1,2,3,4,5
,,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,사귄다,사귀어,사귀어요,사귑니다
Indicative,Past,사귀었다,사귀었어,사귀었어요,사귀었습니다
Interrogative,Non-past,사귀느냐,사귀어,사귀어요,사귑니까
Interrogative,Past,사귀었느냐,사귀었어,사귀었어요,사귀었습니까
Hortative,Hortative,사귀자,사귀어,사귀어요,사귑시다
Imperative,Imperative,사귀어라,사귀어,사귀어요,사귑시오
Assertive,Assertive,사귀겠다,사귀겠어,사귀겠어요,사귀겠습니다
,,,,,
Cause/Reason,Cause/Reason,사귀어,사귀어서,사귀니,사귀니까
Contrast,Contrast,사귀지만,사귀는데,사귀더니,
Conjunction,Conjunction,사귀고,,,
Condition,Condition,사귀면,사귀어야,,
Motive,Motive,사귀려고,,,
,,,,,
Verbal nouns,Verbal nouns,사귐,사귀기,,
Past-tense verbal nouns,Past-tense verbal nouns,사귀었음,사귀었기,,
Determiners,Past,사귄,,,
Determiners,Present,사귀는,,,
Determiners,Future,사귈,,,
,,,,,
,,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,사귀신다,사귀셔,"사귀세요, 사귀셔요",사귀십니다
Indicative,Past,사귀셨다,사귀셨어,사귀셨어요,사귀셨습니다
Interrogative,Non-past,사귀시느냐,사귀셔,"사귀세요, 사귀셔요",사귀십니까
Interrogative,Past,사귀셨느냐,사귀셨어,사귀셨어요,사귀셨습니까
Imperative,Imperative,사귀시라,사귀셔,사귀세요,사귀십시오
Assertive,Assertive,사귀시겠다,사귀시겠어,사귀시겠어요,사귀시겠습니다
,,,,,
Cause/Reason,Cause/Reason,사귀셔,사귀셔서,사귀시니,사귀시니까
Contrast,Contrast,사귀시지만,사귀시는데,사귀시더니,
Conjunction,Conjunction,사귀시고,,,
Condition,Condition,사귀시면,사귀셔야,,
Motive,Motive,사귀시려고,,,
,,,,,
Verbal nouns,Verbal nouns,사귀심,사귀시기,,
Past-tense verbal nouns,Past-tense verbal nouns,사귀셨음,사귀셨기,,
Determiners,Past,사귀신,,,
Determiners,Present,사귀시는,,,
Determiners,Future,사귀실,,,
