,,Formal non-polite(???),Informal non-polite(??),Informal polite(???),Formal polite(?????)
Indicative,Non-past,V.PTCP;FUT N ADJ;DECL;FIN;PRS;FORM,V.PTCP;FUT N ADJ;FIN;PRS;INFM,V.PTCP;FUT N ADJ;FIN;PRS;INFM;POL,V.PTCP;FUT N ADJ;DECL;FIN;PRS;FORM;POL
Indicative,Past,V.PTCP;FUT N ADJ;DECL;FIN;PST;FORM,V.PTCP;FUT N ADJ;FIN;PST;INFM,V.PTCP;FUT N ADJ;FIN;PST;INFM;POL,V.PTCP;FUT N ADJ;DECL;FIN;PST;FORM;POL
Interrogative,Non-past,V.PTCP;FUT N ADJ;INT;FIN;PRS;FORM,V.PTCP;FUT N ADJ;FIN;PRS;INFM,V.PTCP;FUT N ADJ;FIN;PRS;INFM;POL,V.PTCP;FUT N ADJ;INT;FIN;PRS;FORM;POL
Interrogative,Past,V.PTCP;FUT N ADJ;INT;FIN;PST;FORM,V.PTCP;FUT N ADJ;FIN;PST;INFM,V.PTCP;FUT N ADJ;FIN;PST;INFM;POL,V.PTCP;FUT N ADJ;INT;FIN;PST;FORM;POL
Assertive,Assertive,V.PTCP;FUT N ADJ;DECL;FIN;FUT;FORM,V.PTCP;FUT N ADJ;FIN;FUT;INFM,V.PTCP;FUT N ADJ;FIN;FUT;INFM;POL,V.PTCP;FUT N ADJ;DECL;FIN;FUT;FORM;POL
,,,,,
Cause/Reason,Cause/Reason,V.PTCP;FUT N ADJ.CVB;NFIN;CAUS,V.PTCP;FUT N ADJ.CVB;NFIN;CAUS,V.PTCP;FUT N ADJ.CVB;NFIN;CAUS,V.PTCP;FUT N ADJ.CVB;NFIN;CAUS
Contrast,Contrast,V.PTCP;FUT N ADJ.CVB;NFIN,V.PTCP;FUT N ADJ.CVB;NFIN,V.PTCP;FUT N ADJ.CVB;NFIN,
Conjunction,Conjunction,V.PTCP;FUT N ADJ.CVB;NFIN;CONJ,,,
Condition,Condition,V.PTCP;FUT N ADJ.CVB;NFIN;COND,V.PTCP;FUT N ADJ.CVB;NFIN;COND,,
,,,,,
Verbal nouns,Verbal nouns,V.PTCP;FUT N ADJ.MSDR;NFIN;PRS,V.PTCP;FUT N ADJ.MSDR;NFIN;PRS,,
Past-tense verbal nouns,Past-tense verbal nouns,V.PTCP;FUT N ADJ.MSDR;NFIN;PST,V.PTCP;FUT N ADJ.MSDR;NFIN;PST,,
Determiners,Present,,V.PTCP;FUT N ADJ.PTCP;NFIN;PRS,,
Determiners,Future,,V.PTCP;FUT N ADJ.PTCP;NFIN;FUT,,
