		Formal non-polite(해라체)	Informal non-polite(해체)	Informal polite(해요체)	Formal polite(하십시오체)
Indicative	Non-past	배고프다	배고파	배고파요	배고픕니다
Indicative	Past	배고팠다	배고팠어	배고팠어요	배고팠습니다
Interrogative	Non-past	배고프냐	배고파	배고파요	배고픕니까
Interrogative	Past	배고팠냐	배고팠어	배고팠어요	배고팠습니까
Assertive	Assertive	배고프겠다	배고프겠어	배고프겠어요	배고프겠습니다
					
Cause/Reason	Cause/Reason	배고파	배고파서	배고프니	배고프니까
Contrast	Contrast	배고프지만	배고픈데	배고프더니	
Conjunction	Conjunction	배고프고			
Condition	Condition	배고프면	배고파야		
					
Verbal nouns	Verbal nouns	배고픔	배고프기		
Past-tense verbal nouns	Past-tense verbal nouns	배고팠음	배고팠기		
Determiners	Present		배고픈		
Determiners	Future		배고플		
