,,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,이렇다,이래,이래요,이렇습니다
Indicative,Past,이랬다,이랬어,이랬어요,이랬습니다
Interrogative,Non-past,이러냐,이래,이래요,이렇습니까
Interrogative,Past,이랬냐,이랬어,이랬어요,이랬습니까
Assertive,Assertive,이렇겠다,이렇겠어,이렇겠어요,이렇겠습니다
,,,,,
Cause/Reason,Cause/Reason,이래,이래서,이러니,이러니까
Contrast,Contrast,이렇지만,이런데,이렇더니,
Conjunction,Conjunction,이렇고,,,
Condition,Condition,이러면,이래야,,
,,,,,
Verbal nouns,Verbal nouns,이럼,이렇기,,
Past-tense verbal nouns,Past-tense verbal nouns,이랬음,이랬기,,
Determiners,Present,,이런,,
Determiners,Future,,이럴,,
,,,,,
,,Plain (해라체),Informal (해체),Polite (해요체),Formal (하십시오체)
Indicative,Non-past,이러시다,이러셔,"이러세요, 이러셔요",이러십니다
Indicative,Past,이러셨다,이러셨어,이러셨어요,이러셨습니다
Interrogative,Non-past,이러시냐,이러셔,"이러세요, 이러셔요",이러십니까
Interrogative,Past,이러셨냐,이러셨어,이러셨어요,이러셨습니까
Assertive,Assertive,이러시겠다,이러시겠어,이러시겠어요,이러시겠습니다
,,,,,
Cause/Reason,Cause/Reason,이러셔,이러셔서,이러시니,이러시니까
Contrast,Contrast,이러시지만,이러신데,이러시더니,
Conjunction,Conjunction,이러시고,,,
Condition,Condition,이러시면,이러셔야,,
,,,,,
Verbal nouns,Verbal nouns,이러심,이러시기,,
Past-tense verbal nouns,Past-tense verbal nouns,이러셨음,이러셨기,,
Determiners,Present,,이러신,,
Determiners,Future,,이러실,,
,,,,,
