,,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,노동계급화한다,노동계급화해,노동계급화해요,노동계급화합니다
Indicative,Past,노동계급화했다,노동계급화했어,노동계급화했어요,노동계급화했습니다
Interrogative,Non-past,노동계급화하느냐,노동계급화해,노동계급화해요,노동계급화합니까
Interrogative,Past,노동계급화했느냐,노동계급화했어,노동계급화했어요,노동계급화했습니까
Hortative,Hortative,노동계급화하자,노동계급화해,노동계급화해요,노동계급화합시다
Imperative,Imperative,"노동계급화해라, 노동계급화하여라",노동계급화해,노동계급화해요,노동계급화합시오
Assertive,Assertive,노동계급화하겠다,노동계급화하겠어,노동계급화하겠어요,노동계급화하겠습니다
,,,,,
Cause/Reason,Cause/Reason,노동계급화해,"노동계급화해서, 노동계급화하여서",노동계급화하니,노동계급화하니까
Contrast,Contrast,노동계급화하지만,노동계급화하는데,노동계급화하더니,
Conjunction,Conjunction,노동계급화하고,,,
Condition,Condition,노동계급화하면,"노동계급화해야, 노동계급화하여야",,
Motive,Motive,노동계급화하려고,,,
,,,,,
Verbal nouns,Verbal nouns,노동계급화함,노동계급화하기,,
Past-tense verbal nouns,Past-tense verbal nouns,"노동계급화했음, 노동계급화하였음","노동계급화했기, 노동계급화하였기",,
Determiners,Past,노동계급화한,,,
Determiners,Present,노동계급화하는,,,
Determiners,Future,노동계급화할,,,
,,,,,
,,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,노동계급화하신다,노동계급화하셔,"노동계급화하세요, 노동계급화하셔요",노동계급화하십니다
Indicative,Past,노동계급화하셨다,노동계급화하셨어,노동계급화하셨어요,노동계급화하셨습니다
Interrogative,Non-past,노동계급화하시느냐,노동계급화하셔,"노동계급화하세요, 노동계급화하셔요",노동계급화하십니까
Interrogative,Past,노동계급화하셨느냐,노동계급화하셨어,노동계급화하셨어요,노동계급화하셨습니까
Imperative,Imperative,노동계급화하시라,노동계급화하셔,노동계급화하세요,노동계급화하십시오
Assertive,Assertive,노동계급화하시겠다,노동계급화하시겠어,노동계급화하시겠어요,노동계급화하시겠습니다
,,,,,
Cause/Reason,Cause/Reason,노동계급화하셔,노동계급화하셔서,노동계급화하시니,노동계급화하시니까
Contrast,Contrast,노동계급화하시지만,노동계급화하시는데,노동계급화하시더니,
Conjunction,Conjunction,노동계급화하시고,,,
Condition,Condition,노동계급화하시면,노동계급화하셔야,,
Motive,Motive,노동계급화하시려고,,,
,,,,,
Verbal nouns,Verbal nouns,노동계급화하심,노동계급화하시기,,
Past-tense verbal nouns,Past-tense verbal nouns,노동계급화하셨음,노동계급화하셨기,,
Determiners,Past,노동계급화하신,,,
Determiners,Present,노동계급화하시는,,,
Determiners,Future,노동계급화하실,,,
