		Formal non-polite(해라체)	Informal non-polite(해체)	Informal polite(해요체)	Formal polite(하십시오체)
Indicative	Non-past	고명한다	고명해	고명해요	고명합니다
Indicative	Past	고명했다	고명했어	고명했어요	고명했습니다
Interrogative	Non-past	고명하느냐	고명해	고명해요	고명합니까
Interrogative	Past	고명했느냐	고명했어	고명했어요	고명했습니까
Hortative	Hortative	고명하자	고명해	고명해요	고명합시다
Imperative	Imperative	고명해라, 고명하여라	고명해	고명해요	고명합시오
Assertive	Assertive	고명하겠다	고명하겠어	고명하겠어요	고명하겠습니다
					
Cause/Reason	Cause/Reason	고명해	고명해서, 고명하여서	고명하니	고명하니까
Contrast	Contrast	고명하지만	고명하는데	고명하더니	
Conjunction	Conjunction	고명하고			
Condition	Condition	고명하면	고명해야, 고명하여야		
Motive	Motive	고명하려고			
					
Verbal nouns	Verbal nouns	고명함	고명하기		
Past-tense verbal nouns	Past-tense verbal nouns	고명했음, 고명하였음	고명했기, 고명하였기		
Determiners	Past	고명한			
Determiners	Present	고명하는			
Determiners	Future	고명할			
					
		Formal non-polite(해라체)	Informal non-polite(해체)	Informal polite(해요체)	Formal polite(하십시오체)
Indicative	Non-past	고명하신다	고명하셔	고명하세요, 고명하셔요	고명하십니다
Indicative	Past	고명하셨다	고명하셨어	고명하셨어요	고명하셨습니다
Interrogative	Non-past	고명하시느냐	고명하셔	고명하세요, 고명하셔요	고명하십니까
Interrogative	Past	고명하셨느냐	고명하셨어	고명하셨어요	고명하셨습니까
Imperative	Imperative	고명하시라	고명하셔	고명하세요	고명하십시오
Assertive	Assertive	고명하시겠다	고명하시겠어	고명하시겠어요	고명하시겠습니다
					
Cause/Reason	Cause/Reason	고명하셔	고명하셔서	고명하시니	고명하시니까
Contrast	Contrast	고명하시지만	고명하시는데	고명하시더니	
Conjunction	Conjunction	고명하시고			
Condition	Condition	고명하시면	고명하셔야		
Motive	Motive	고명하시려고			
					
Verbal nouns	Verbal nouns	고명하심	고명하시기		
Past-tense verbal nouns	Past-tense verbal nouns	고명하셨음	고명하셨기		
Determiners	Past	고명하신			
Determiners	Present	고명하시는			
Determiners	Future	고명하실			
