0,1,2,3,4,5
,,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,이런다,이래,이래요,이럽니다
Indicative,Past,이랬다,이랬어,이랬어요,이랬습니다
Interrogative,Non-past,이러느냐,이래,이래요,이럽니까
Interrogative,Past,이랬느냐,이랬어,이랬어요,이랬습니까
Hortative,Hortative,이러자,이래,이래요,이럽시다
Imperative,Imperative,이래라,이래,이래요,이럽시오
Assertive,Assertive,이러겠다,이러겠어,이러겠어요,이러겠습니다
,,,,,
Cause/Reason,Cause/Reason,이래,이래서,이러니,이러니까
Contrast,Contrast,이러지만,이러는데,이러더니,
Conjunction,Conjunction,이러고i,,,
Condition,Condition,이러면,이래야,,
Motive,Motive,이러려고,,,
,,,,,
Verbal nouns,Verbal nouns,이럼,이러기,,
Past-tense verbal nouns,Past-tense verbal nouns,이랬음,이랬기,,
Determiners,Past,이런,,,
Determiners,Present,이러는,,,
Determiners,Future,이럴,,,
,,,,,
,,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,이러신다,이러셔,"이러세요, 이러셔요",이러십니다
Indicative,Past,이러셨다,이러셨어,이러셨어요,이러셨습니다
Interrogative,Non-past,이러시느냐,이러셔i,"이러세요, 이러셔요",이러십니까
Interrogative,Past,이러셨느냐,이러셨어,이러셨어요,이러셨습니까
Imperative,Imperative,이러시라,이러셔,이러세요,이러십시오
Assertive,Assertive,이러시겠다,이러시겠어,이러시겠어요,이러시겠습니다
,,,,,
Cause/Reason,Cause/Reason,이러셔,이러셔서,이러시니,이러시니까
Contrast,Contrast,이러시지만,이러시는데,이러시더니,
Conjunction,Conjunction,이러시고,,,
Condition,Condition,이러시면,이러셔야,,
Motive,Motive,이러시려고,,,
,,,,,
Verbal nouns,Verbal nouns,이러심,이러시기,,
Past-tense verbal nouns,Past-tense verbal nouns,이러셨음,이러셨기,,
Determiners,Past,이러신,,,
Determiners,Present,이러시는,,,
Determiners,Future,이러실,,,
